"","Year","Month","..Total_Users","..Tot_session_perUser","..Total_Pg_Sessions","..Total_Session","..Total_revenue","..Total_ECR","..Total_bounce_rate","..Total_avg_sess_duration","Avg_Users","Avg_sessionPer_user","Avg_Pg_session","Avg_session","Avg_revenue","Avg_ECR","Avg_bounce_rate","Avg_session_duration"
"67",2020,"January",59343,35.46,132.21,67815,4905.89,4.53,1525.07,5345,1914.29032258065,1.14387096774194,4.26483870967742,2187.58064516129,158.254516129032,0.146129032258065,49.1958064516129,172.41935483871
"68",2020,"July",60806,34.02,137.12,68876,5714.52,4.41,1468.49,5356,2026.86666666667,1.134,4.57066666666667,2295.86666666667,190.484,0.147,48.9496666666667,178.533333333333
"69",2020,"June",60409,34.68,158.82,67631,5556.57,4.91,1400.95,5804,1948.67741935484,1.11870967741935,5.12322580645161,2181.64516129032,179.244193548387,0.158387096774194,45.191935483871,187.225806451613
"70",2020,"March",48000,35.13,170.69,54457,7120.57,6.5,1258.12,6338,1548.38709677419,1.13322580645161,5.50612903225806,1756.67741935484,229.695806451613,0.209677419354839,40.5845161290323,204.451612903226
"71",2020,"May",42994,33.62,156.22,48297,3096.41,3.26,1295.55,5564,1433.13333333333,1.12066666666667,5.20733333333333,1609.9,103.213666666667,0.108666666666667,43.185,185.466666666667
"72",2020,"November",59051,34.29,155.9,65279,4328.13,3.31,1354.59,5669,1904.87096774194,1.10612903225806,5.02903225806452,2105.77419354839,139.617096774194,0.106774193548387,43.6964516129032,182.870967741935
"73",2020,"October",59166,32.92,149.88,65100,8584.17,5.49,1322.13,6027,1972.2,1.09733333333333,4.996,2170,286.139,0.183,44.071,200.9
"74",2020,"September",67529,34.04,164.66,74656,74467.54,47.95,1538.46,6142,2178.35483870968,1.09806451612903,5.31161290322581,2408.25806451613,2402.17870967742,1.54677419354839,49.6277419354839,198.129032258065
"75",2021,"April",56214,34.24,141.25,62228,85468.95,52.23,1654.39,5222,1813.35483870968,1.10451612903226,4.55645161290323,2007.35483870968,2757.06290322581,1.68483870967742,53.3674193548387,168.451612903226
"76",2021,"February",59425,31.58,133.39,66864,7258.66,7.5,1436.17,5430,2122.32142857143,1.12785714285714,4.76392857142857,2388,259.237857142857,0.267857142857143,51.2917857142857,193.928571428571
"77",2021,"January",72696,34.53,133.47,81067,88469.11,50.16,1679.87,5221,2345.03225806452,1.11387096774194,4.30548387096774,2615.06451612903,2853.84225806452,1.61806451612903,54.1893548387097,168.41935483871
"78",2021,"July",73478,32.76,127.62,80217,123965.26,67.14,1635.96,5118,2449.26666666667,1.092,4.254,2673.9,4132.17533333333,2.238,54.532,170.6
"79",2021,"June",63697,33.9,147.28,69680,141513.43,82.09,1512.37,5749,2054.74193548387,1.09354838709677,4.75096774193548,2247.74193548387,4564.94935483871,2.64806451612903,48.7861290322581,185.451612903226
"80",2021,"March",62955,32.88,145.67,69104,153102.81,95.18,1455.71,5554,2098.5,1.096,4.85566666666667,2303.46666666667,5103.427,3.17266666666667,48.5236666666667,185.133333333333
"81",2021,"May",15232,9.64,46.39,16454,35242.57,27.92,442.91,1900,491.354838709677,0.310967741935484,1.49645161290323,530.774193548387,1136.85709677419,0.900645161290323,14.2874193548387,61.2903225806452
